timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103424316,368,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,368,0,0
1667103424684,511,Request1-1,200,OK,Thread Group 1-5,text,true,,17474,119,10,10,https://www.google.com/,500,0,0
1667103424521,771,Request1,200,OK,Thread Group 1-2,text,true,,18129,234,10,10,https://www.google.com/,348,0,0
1667103424521,348,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,348,0,0
1667103424869,423,Request1-1,200,OK,Thread Group 1-2,text,true,,17426,119,10,10,https://www.google.com/,416,0,0
1667103424548,843,Request1,200,OK,Thread Group 1-6,text,true,,18197,234,10,10,https://www.google.com/,340,0,0
1667103424548,340,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,340,0,0
1667103424888,503,Request1-1,200,OK,Thread Group 1-6,text,true,,17494,119,10,10,https://www.google.com/,492,0,0
1667103423901,1642,Request1,200,OK,Thread Group 1-7,text,true,,18195,234,10,10,https://www.google.com/,1123,0,0
1667103423901,1123,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,1123,0,0
1667103425023,520,Request1-1,200,OK,Thread Group 1-7,text,true,,17492,119,10,10,https://www.google.com/,508,0,0
1667103424071,1529,Request1,200,OK,Thread Group 1-8,text,true,,18170,234,10,10,https://www.google.com/,1015,0,0
1667103424071,1015,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,1015,0,0
1667103425086,514,Request1-1,200,OK,Thread Group 1-8,text,true,,17467,119,10,10,https://www.google.com/,503,0,0
1667103424308,1299,Request1,200,OK,Thread Group 1-1,text,true,,18178,234,10,10,https://www.google.com/,786,0,0
1667103424308,786,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,786,0,0
1667103425094,513,Request1-1,200,OK,Thread Group 1-1,text,true,,17475,119,10,10,https://www.google.com/,502,0,0
1667103424843,850,Request1,200,OK,Thread Group 1-3,text,true,,18188,234,10,10,https://www.google.com/,350,0,0
1667103424843,350,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,350,0,0
1667103425193,500,Request1-1,200,OK,Thread Group 1-3,text,true,,17485,119,10,10,https://www.google.com/,490,0,0
1667103424965,841,Request1,200,OK,Thread Group 1-10,text,true,,18094,234,10,10,https://www.google.com/,342,0,0
1667103424965,342,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,342,0,0
1667103425307,499,Request1-1,200,OK,Thread Group 1-10,text,true,,17391,119,10,10,https://www.google.com/,497,0,0
1667103425293,859,Request1,200,OK,Thread Group 1-2,text,true,,18169,234,10,10,https://www.google.com/,352,0,0
1667103425293,352,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,352,0,0
1667103425645,507,Request1-1,200,OK,Thread Group 1-2,text,true,,17466,119,10,10,https://www.google.com/,495,0,0
1667103424790,1625,Request1,200,OK,Thread Group 1-4,text,true,,18201,234,10,10,https://www.google.com/,1114,0,0
